Date,Close/Last,Volume,Open,High,Low
11/10/2023,$32.92,1649177,$32.96,$33.15,$32.18
11/09/2023,$32.55,1874987,$33.90,$33.92,$32.39
11/08/2023,$33.76,1755205,$34.15,$34.17,$33.31
11/07/2023,$34.10,1763663,$34.10,$34.29,$33.66
11/06/2023,$34.18,1551912,$34.87,$35.09,$33.85
11/03/2023,$34.76,2599568,$34.39,$35.08,$34.28
11/02/2023,$33.23,3026788,$31.63,$33.355,$31.63
11/01/2023,$31.02,2261807,$30.74,$31.13,$30.33
10/31/2023,$30.85,2387425,$30.08,$30.975,$29.78
10/30/2023,$29.98,2837137,$29.84,$30.18,$29.32
10/27/2023,$29.45,2498298,$30.59,$30.67,$28.98
10/26/2023,$30.45,4151701,$29.56,$30.86,$29.56
10/25/2023,$29.63,2713325,$29.51,$29.97,$28.90
10/24/2023,$29.86,2592640,$30.13,$30.46,$29.33
10/23/2023,$30.05,4626184,$29.64,$30.87,$29.51
10/20/2023,$29.96,6615141,$32.00,$32.10,$29.62
10/19/2023,$32.24,8547896,$33.98,$34.45,$32.22
10/18/2023,$35.69,3606505,$36.33,$36.61,$35.51
10/17/2023,$36.74,4232848,$35.53,$37.19,$35.5044
10/16/2023,$35.92,2388573,$35.09,$36.01,$34.69
10/13/2023,$34.57,2202600,$35.69,$35.8557,$34.33
10/12/2023,$35.20,2396246,$35.63,$35.65,$34.52
10/11/2023,$35.65,2827266,$35.24,$36.02,$35.11
10/10/2023,$35.12,3430257,$34.46,$35.46,$34.30
10/09/2023,$33.97,2862720,$33.30,$34.23,$33.245
10/06/2023,$33.69,3569127,$32.67,$34.14,$32.435
10/05/2023,$33.40,5142732,$33.25,$33.71,$32.83
10/04/2023,$33.33,2694955,$33.12,$33.42,$32.2401
10/03/2023,$32.92,2789792,$33.22,$33.35,$32.25
10/02/2023,$33.49,2731689,$34.89,$35.21,$33.215
09/29/2023,$34.89,2926878,$34.72,$35.74,$34.39
09/28/2023,$33.95,2233495,$33.18,$34.38,$32.54
09/27/2023,$33.17,3779280,$33.42,$34.06,$33.11
09/26/2023,$33.99,1586152,$33.84,$34.70,$33.84
09/25/2023,$34.58,1370575,$33.77,$34.60,$33.64
09/22/2023,$34.10,2364027,$34.28,$34.52,$33.645
09/21/2023,$34.16,3055268,$35.03,$35.22,$34.085
09/20/2023,$35.30,1847212,$36.14,$36.68,$35.28
09/19/2023,$35.89,2062716,$36.43,$36.62,$35.47
09/18/2023,$36.18,1551097,$36.80,$37.00,$36.03
09/15/2023,$36.92,5451238,$36.72,$37.27,$36.45
09/14/2023,$37.08,2563455,$36.71,$37.21,$36.34
09/13/2023,$36.13,4247164,$37.41,$37.41,$35.35
09/12/2023,$37.09,5495027,$36.11,$37.63,$35.89
09/11/2023,$34.73,2319700,$35.12,$35.68,$34.61
09/08/2023,$34.92,4094845,$34.03,$34.95,$32.935
09/07/2023,$33.86,2616412,$34.53,$35.06,$33.71
09/06/2023,$34.82,2945622,$35.60,$35.94,$34.22
09/05/2023,$36.13,2025142,$36.08,$37.01,$36.08
09/01/2023,$36.44,2812998,$35.76,$36.60,$35.76
08/31/2023,$35.50,2110019,$35.08,$35.54,$34.86
08/30/2023,$34.99,1922440,$35.45,$35.58,$34.88
08/29/2023,$35.44,1840099,$34.91,$35.71,$34.44
08/28/2023,$34.90,1632455,$34.50,$35.195,$34.32
08/25/2023,$34.13,1423490,$34.64,$35.00,$33.75
08/24/2023,$34.47,2555178,$34.14,$35.47,$34.001
08/23/2023,$33.98,2004614,$33.09,$34.075,$32.6509
08/22/2023,$33.09,3133014,$34.50,$34.58,$32.90
08/21/2023,$34.53,2127738,$34.87,$35.00,$33.9299
08/18/2023,$34.73,1952356,$34.29,$34.935,$34.15
08/17/2023,$34.96,1951152,$35.23,$35.30,$34.395
08/16/2023,$34.84,2202414,$35.28,$35.54,$34.7537
08/15/2023,$35.73,2953160,$36.50,$36.79,$35.66
08/14/2023,$37.41,2353718,$37.78,$37.781,$37.03
08/11/2023,$38.30,2572962,$37.03,$38.65,$36.89
08/10/2023,$37.53,2381530,$37.67,$38.09,$37.08
08/09/2023,$37.40,2902124,$37.85,$38.61,$37.26
08/08/2023,$38.18,3169179,$36.68,$38.21,$35.95
08/07/2023,$38.14,2492596,$37.92,$38.505,$37.70
08/04/2023,$37.92,2443855,$37.27,$38.56,$37.03
08/03/2023,$37.41,2414020,$36.50,$37.53,$36.11
08/02/2023,$36.63,3050361,$36.17,$37.00,$35.78
08/01/2023,$37.10,3266968,$38.65,$38.68,$36.53
07/31/2023,$38.25,6195327,$38.92,$39.11,$37.65
07/28/2023,$38.69,2650416,$38.29,$38.97,$37.84
07/27/2023,$37.61,4411837,$38.66,$39.64,$37.35
07/26/2023,$38.45,4360724,$36.80,$38.64,$36.79
07/25/2023,$35.78,5271296,$37.53,$37.59,$35.423
07/24/2023,$37.05,4933333,$35.70,$37.425,$35.66
07/21/2023,$36.11,5778267,$38.07,$38.15,$35.86
07/20/2023,$37.90,10134710,$37.02,$38.46,$36.22
07/19/2023,$34.46,7771326,$32.80,$34.84,$32.51
07/18/2023,$32.43,4959625,$31.48,$33.27,$31.345
07/17/2023,$31.36,2247007,$30.63,$31.505,$30.34
07/14/2023,$30.70,4588440,$32.70,$32.70,$30.58
07/13/2023,$32.00,2940850,$31.52,$32.335,$31.12
07/12/2023,$31.28,5962622,$31.43,$32.21,$31.07
07/11/2023,$30.425,4056638,$29.14,$31.025,$29.07
07/10/2023,$29.56,3528684,$28.80,$29.80,$28.51
07/07/2023,$28.98,4501767,$27.78,$29.365,$27.66
07/06/2023,$27.78,4488133,$27.38,$27.825,$26.69
07/05/2023,$27.96,3183453,$27.75,$28.68,$27.43
07/03/2023,$28.14,2618355,$27.26,$28.18,$27.165
06/30/2023,$26.86,3699752,$27.62,$27.7147,$26.77
06/29/2023,$27.28,2917915,$27.43,$27.89,$27.06
06/28/2023,$27.09,2499985,$27.04,$27.1804,$26.555
06/27/2023,$27.30,2377770,$27.13,$27.52,$26.575
06/26/2023,$27.08,2154220,$26.92,$27.67,$26.87
06/23/2023,$26.60,3829616,$26.628,$26.92,$26.355
06/22/2023,$26.97,3925321,$27.77,$27.85,$26.6901
06/21/2023,$27.95,2879055,$27.77,$28.25,$27.4601
06/20/2023,$27.85,3999599,$28.44,$28.50,$27.27
06/16/2023,$28.63,5291072,$28.89,$29.14,$27.93
06/15/2023,$28.98,4510930,$27.275,$29.17,$27.07
06/14/2023,$28.06,6567677,$29.53,$29.78,$27.83
06/13/2023,$29.77,7691631,$28.79,$30.31,$28.14
06/12/2023,$30.24,5415448,$30.96,$32.34,$29.74
